Oil on canvas
Oil on canvas
Oil on Masonite
Oil on masonite
Oil and tempera on panel
Oil on canvas
Oil on canvas
Black serpentine
Oil on canvas
Oil on canvas
Pastel on paper
Oil on canvas
Oil on panel
Oil on panel
Oil on canvas
Oil on canvas
Watercolor
Tempera on panel
Oil on canvas
Oil on canvas
Oil on canvas
Oil on canvas
Oil on canvas
Oil on canvas
Oil on canvas
Oil on Masonite
Oil on canvas
Oil on canvas
Tempera and plumbago on composition board
Oil on canvas
Oil on canvas
Oil on canvas
Oil on canvas
Oil on canvas
White pine
Oil on canvas
Oil on canvas
Oil on canvas
Oil on canvas
Oil on canvas
Oil on board
Marble
Oil on canvas
