5437  4396
5444  7266
5444  7749
5445  1705
5645   223
6124  1140
7137   236
8926    49
9736    94
2475   144
2476   169
2576  2023
2716    37
3527   413
3826   764
4026   312
4026   899
4026   900
4026   901
4026  1531
4026  5259
4026  8435
4075    67
4075  3916
4075  3918
4076  3914
4126   121
4326  3522
4327  8698
4526    11
4726     7
4826    17
5126   166
5126   184
5345   822
H     D       142
1  2521
1  2553
8   206
8   210
8   212
8   213
8   214
8   215
8   217
116  2077
126   727
126   731
126  1006
126  1007
126  1189
126  1193
126  1233
126  2260
126  2264
126  2305
126  2315
126  2322
126  2339
127  1090
127  1225
127  1235
127  2000
127  2232
127  2308
127  2329
127  2513
137   320
137   509
137   524
137   531
137   552
137   570
137  2085
137  2195
137  2244
147  1511
147  2006
147  2008
147  2022
176  1017
176  1185
176  2171
177  1219
227    24
227   469
227   483
227   531
227   573
227   597
227  1425
237   586
237  1210
237  1584
54   343
54  1516
54  1706
54  2868
54  7758
54  7767
61   902
61  1007
61  1147
61  7095
61  7176
61 16989
61 18541
61 91657
71    20
83  1184
84   304
84   613
84  1718
84  1795
84  2683
89   100
90   453
93    58
